 CMS Certification Number,Facility Name,Address,City,County,State,Zip,Telephone,Patients who reported that staff definitely gave care in a professional way and the facility was clean,Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean,Patients who reported that staff did not give care in a professional way or the facility was not clean,Facilities and staff linear mean score,Patients who reported that staff definitely communicated about what to expect during and after the procedure,Patients who reported that staff somewhat communicated about what to expect during and after the procedure,Patients who reported that staff did not communicate about what to expect during and after the procedure,Communication about your procedure linear mean score,Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest),Patients’ rating of the facility linear mean score,Patients who reported YES they would DEFINITELY recommend the facility to family or friends,Patients who reported PROBABLY YES they would recommend the facility to family or friends,"Patients who reported NO, they would not recommend the facility to family or friends",Patients recommending the facility linear mean score,Footnote,Number of Sampled Patients,Number of Completed Surveys,Survey Response Rate Percent,Measure Start Date,Measure End Date
260006,MOSAIC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,SAINT JOSEPH,BUCHANAN,MO,64506,8162716000,96,4,0,98,92,6,2,95,82,16,2,93,75,24,1,92,,1577,343,22,10/1/2017,9/30/2018
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA,PETTIS,MO,65302,6608268833,,,,,,,,,,,,,,,,,4,,,,,
260011,SSM HEALTH ST MARY'S HOSPITAL JEFFERSON CITY,2505 MISSION DRIVE,JEFFERSON CITY,COLE,MO,65109,5736813000,96,4,0,98,89,9,2,94,88,10,2,94,80,19,1,93,,1264,393,31,10/1/2017,9/30/2018
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,PHELPS,MO,65401,5734588899,97,3,0,98,93,6,1,96,80,16,4,92,70,26,4,88,,2447,552,23,10/1/2017,9/30/2018
260024,TEXAS COUNTY MEMORIAL HOSPITAL,1333 SAM HOUSTON BOULEVARD,HOUSTON,TEXAS,MO,65483,4179673311,,,,,,,,,,,,,,,,,4,,,,,
260025,HANNIBAL REGIONAL HOSPITAL,6000 HOSPITAL DR,HANNIBAL,MARION,MO,63401,5732481300,96,4,0,98,89,7,4,93,87,11,2,94,80,19,1,93,2,844,246,29,10/1/2017,9/30/2018
260040,COX MEDICAL CENTERS,3801 SOUTH NATIONAL AVENUE,SPRINGFIELD,GREENE,MO,65807,4172696000,96,4,0,98,90,8,2,94,88,10,2,95,87,11,2,95,,2522,706,28,10/1/2017,9/30/2018
260047,CAPITAL REGION MEDICAL CENTER,1125 MADISON ST,JEFFERSON CITY,COLE,MO,65102,5736325000,,,,,,,,,,,,,,,,,4,,,,,
260048,TRUMAN MEDICAL CENTER HOSPITAL HILL,2301 HOLMES STREET,KANSAS CITY,JACKSON,MO,64108,8164041000,95,4,1,97,92,7,1,95,79,16,5,92,85,11,4,93,,3003,631,22,10/1/2017,9/30/2018
260050,SSM HEALTH ST. FRANCIS HOSPITAL- MARYVILLE,2016 SOUTH MAIN ST,MARYVILLE,NODAWAY,MO,64468,6605622600,98,2,0,99,95,5,0,97,82,14,4,92,73,26,1,90,,709,269,38,10/1/2017,9/30/2018
260061,NEVADA REGIONAL MEDICAL CENTER,800 S ASH ST,NEVADA,VERNON,MO,64772,4176673355,,,,,,,,,,,,,,,,,4,,,,,
260064,SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN,620 E MONROE,MEXICO,AUDRAIN,MO,65265,5735825000,97,3,0,98,93,6,1,96,79,20,1,93,71,27,2,89,,680,213,31,10/1/2017,9/30/2018
260081,SSM ST CLARE HEALTH CENTER,1015 BOWLES,FENTON,JEFFERSON,MO,63026,6364962000,97,2,1,98,91,7,2,94,89,9,2,94,87,11,2,95,,1139,347,30,10/1/2017,9/30/2018
260091,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,6420 CLAYTON RD,RICHMOND HEIGHTS,ST. LOUIS,MO,63117,3147688000,97,3,0,98,90,8,2,94,84,13,3,93,81,16,3,92,,2067,497,24,10/1/2017,9/30/2018
260094,COX MEDICAL CENTER BRANSON,525 BRANSON LANDING BLVD,BRANSON,TANEY,MO,65615,4173357000,97,2,1,98,91,8,1,95,85,13,2,94,81,19,0,94,,415,124,30,10/1/2017,9/30/2018
260097,WESTERN MISSOURI MEDICAL CENTER,403 BURKARTH ROAD,WARRENSBURG,JOHNSON,MO,64093,6607472500,99,1,0,99,94,5,1,96,86,12,2,94,73,26,1,91,,1718,506,29,10/1/2017,9/30/2018
260102,TRUMAN MEDICAL CENTER LAKEWOOD,7900 LEE'S SUMMIT RD,KANSAS CITY,JACKSON,MO,64139,8164047000,97,2,1,99,92,7,1,95,83,16,1,94,88,11,1,96,,1246,223,19,10/1/2017,9/30/2018
260104,SSM DEPAUL HEALTH CENTER,12303 DEPAUL DRIVE,BRIDGETON,ST. LOUIS,MO,63044,3143446000,97,3,0,98,92,7,1,95,86,13,1,95,82,16,2,93,,2300,648,28,10/1/2017,9/30/2018
260105,ST LOUIS UNIVERSITY HOSPITAL,3635 VISTA AVE,SAINT LOUIS,ST. LOUIS CITY,MO,63110,3145778000,96,4,0,98,95,4,1,97,82,13,5,93,62,34,4,85,2,806,177,22,10/1/2017,9/30/2018
260175,GOLDEN VALLEY MEMORIAL HOSPITAL,1600 N 2ND ST,CLINTON,HENRY,MO,64735,6608855511,,,,,,,,,,,,,,,,,4,,,,,
260179,ST LUKES HOSPITAL,232 S WOODS MILL RD,CHESTERFIELD,ST. LOUIS,MO,63017,3144341500,97,3,0,98,91,7,2,95,86,12,2,94,85,12,3,94,,2062,740,36,10/1/2017,9/30/2018
260183,SAINT FRANCIS MEDICAL CENTER,211 ST FRANCIS DR,CAPE GIRARDEAU,CAPE GIRARDEAU,MO,63703,5733313000,,,,,,,,,,,,,,,,,4,,,,,
260195,CITIZENS MEMORIAL HOSPITAL,1500 N OAKLAND,BOLIVAR,POLK,MO,65613,4173266000,98,2,0,99,92,7,1,95,86,13,1,94,80,18,2,92,,1244,405,33,10/1/2017,9/30/2018
260200,SSM ST JOSEPH HOSPITAL WEST,100 MEDICAL PLAZA,LAKE SAINT LOUIS,ST. CHARLES,MO,63367,6366255200,97,3,0,98,92,6,2,95,85,14,1,94,86,13,1,95,,1310,377,29,10/1/2017,9/30/2018
260227,BLACK RIVER COMMUNITY MEDICAL CENTER,217 PHYSICIANS PARK DRIVE,POPLAR BLUFF,BUTLER,MO,63901,5736866001,,,,,,,,,,,,,,,,,4,,,,,
261303,COMMUNITY HOSPITAL ASSOCIATION,26136 US HIGHWAY 59,FAIRFAX,ATCHISON,MO,64446,6606862211,98,2,0,99,93,5,2,96,84,13,3,95,84,16,0,95,2;3,222,57,26,10/1/2017,9/30/2018
270004,BILLINGS CLINIC,2800 10TH AVE N,BILLINGS,YELLOWSTONE,MT,59101,4066574000,,,,,,,,,,,,,,,,,4,,,,,
270012,BENEFIS HOSPITALS INC,1101 26TH ST S,GREAT FALLS,CASCADE,MT,59405,4064555000,95,4,1,97,88,10,2,93,74,22,4,91,79,19,2,92,,1362,270,21,10/1/2017,9/30/2018
270014,ST. PATRICK HOSPITAL,500 W BROADWAY,MISSOULA,MISSOULA,MT,59806,4065437271,98,2,0,99,91,8,1,95,86,13,1,94,88,11,1,96,,3977,1515,38,10/1/2017,9/30/2018
270017,ST JAMES HEALTHCARE,400 S CLARK ST,BUTTE,SILVER BOW,MT,59701,4067232500,96,3,1,98,89,9,2,94,77,18,5,91,70,28,2,89,,1968,574,29,10/1/2017,9/30/2018
270049,ST VINCENT HEALTHCARE,1233 N 30TH ST,BILLINGS,YELLOWSTONE,MT,59101,4066577000,96,4,0,98,88,9,3,93,82,15,3,93,83,15,2,93,,6308,1853,29,10/1/2017,9/30/2018
270051,KALISPELL REGIONAL MEDICAL CENTER,310 SUNNYVIEW LANE,KALISPELL,FLATHEAD,MT,59901,4067525111,98,2,0,99,91,7,2,94,86,12,2,94,84,14,2,94,,1575,505,32,10/1/2017,9/30/2018
270057,BOZEMAN HEALTH DEACONESS HOSPITAL,915 HIGHLAND BLVD,BOZEMAN,GALLATIN,MT,59715,4065855000,91,8,1,95,82,16,2,90,78,22,0,94,70,30,0,90,3,115,16,14,10/1/2017,9/30/2018
270087,THE HEALTHCENTER,320 SUNNYVIEW LANE,KALISPELL,FLATHEAD,MT,59901,4067564720,96,4,0,98,89,10,1,94,84,14,2,93,84,15,1,94,,1357,497,37,10/1/2017,9/30/2018
271318,BARRETT HOSPITAL & HEALTHCARE,600 MT HWY 91 S,DILLON,BEAVERHEAD,MT,59725,4066833000,99,1,0,99,95,4,1,97,93,5,2,95,89,10,1,96,,512,158,31,10/1/2017,9/30/2018
271320,CABINET PEAKS MEDICAL CENTER,209 HEALTH PARK DR,LIBBY,LINCOLN,MT,59923,4062930100,97,3,0,98,89,9,2,94,81,16,3,93,83,16,1,94,,817,200,25,10/1/2017,9/30/2018
271335,COMMUNITY HOSPITAL OF ANACONDA,401 W PENNSYLVANIA,ANACONDA,DEER LODGE,MT,59711,4065638500,98,2,0,99,93,6,1,96,87,11,2,94,88,11,1,95,,2052,826,40,10/1/2017,9/30/2018
271343,PROVIDENCE ST JOSEPH MEDICAL CENTER,6 13TH AVE E,POLSON,LAKE,MT,59860,4068835377,98,2,0,99,91,8,1,95,83,14,3,93,83,15,2,93,,641,181,28,10/1/2017,9/30/2018
271344,SIDNEY HEALTH CENTER,216 14TH AVE SW,SIDNEY,RICHLAND,MT,59270,4064882100,97,2,1,98,93,6,1,96,85,11,4,93,76,23,1,91,,599,160,27,10/1/2017,9/30/2018
271347,HOLY ROSARY HEALTHCARE,2600 WILSON ST,MILES CITY,CUSTER,MT,59301,4062332600,95,4,1,97,90,8,2,94,79,18,3,92,74,25,1,91,,908,288,32,10/1/2017,9/30/2018
280003,BRYAN MEDICAL CENTER,1600 SOUTH 48TH ST,LINCOLN,LANCASTER,NE,68506,4024811111,,,,,,,,,,,,,,,,,4,,,,,
280040,THE NEBRASKA METHODIST HOSPITAL,8303 DODGE ST,OMAHA,DOUGLAS,NE,68114,4023544000,,,,,,,,,,,,,,,,,4,,,,,
280065,GREAT PLAINS HEALTH,601 WEST LEOTA ST,NORTH PLATTE,LINCOLN,NE,69101,3086968000,98,2,0,99,89,9,2,94,80,16,4,92,77,21,2,91,,1128,307,28,10/1/2017,9/30/2018
280077,FREMONT HEALTH,450 EAST 23RD ST,FREMONT,DODGE,NE,68025,4027211610,98,2,0,99,94,5,1,96,88,10,2,95,78,21,1,92,,1159,471,41,10/1/2017,9/30/2018
280111,COLUMBUS COMMUNITY HOSPITAL,4600 38TH ST,COLUMBUS,PLATTE,NE,68601,4025647118,98,2,0,99,91,8,1,95,83,15,2,93,76,23,1,91,,1002,410,41,10/1/2017,9/30/2018
280125,FAITH REGIONAL HEALTH SERVICES,2700 WEST NORFOLK AVE,NORFOLK,MADISON,NE,68701,4023714880,96,3,1,98,87,12,1,93,80,17,3,92,70,28,2,89,,658,247,38,10/1/2017,9/30/2018
280129,NEBRASKA ORTHOPAEDIC HOSPITAL,2808 SOUTH 143RD PLZ,OMAHA,DOUGLAS,NE,68144,4026091600,99,1,0,99,93,6,1,96,93,6,1,97,93,6,1,97,,4423,1696,38,10/1/2017,9/30/2018
280133,"NEBRASKA SPINE HOSPITAL, LLC","6901 NORTH 72ND ST, STE 20300",OMAHA,DOUGLAS,NE,68122,4025723000,,,,,,,,,,,,,,,,,4,,,,,
281309,SYRACUSE AREA HEALTH,1579 MIDLAND ST,SYRACUSE,OTOE,NE,68446,4022692011,,,,,,,,,,,,,,,,,4,,,,,
281338,HOWARD COUNTY MEDICAL CENTER,1113 SHERMAN ST,ST PAUL,HOWARD,NE,68873,3087544421,98,2,0,99,92,6,2,95,85,14,1,95,82,17,1,93,,314,145,46,10/1/2017,9/30/2018
281345,PROVIDENCE MEDICAL CENTER,1200 PROVIDENCE RD,WAYNE,WAYNE,NE,68787,4023753800,97,3,0,98,91,8,1,95,85,13,2,94,78,20,2,92,,809,302,37,10/1/2017,9/30/2018
281354,CRETE AREA MEDICAL CENTER,2910 BETTEN DR,CRETE,SALINE,NE,68333,4028262102,,,,,,,,,,,,,,,,,4,,,,,
281361,LEXINGTON REGIONAL HEALTH CENTER,1201 NORTH ERIE ST,LEXINGTON,DAWSON,NE,68850,3083245651,,,,,,,,,,,,,,,,,4,,,,,
281362,PHELPS MEMORIAL HEALTH CENTER,1215 TIBBALS ST,HOLDREGE,PHELPS,NE,68949,3089952211,,,,,,,,,,,,,,,,,4,,,,,
281363,COMMUNITY HOSPITAL,1301 EAST H ST,MCCOOK,RED WILLOW,NE,69001,3083442650,98,2,0,99,92,7,1,95,85,14,1,94,84,15,1,94,,1303,308,25,10/1/2017,9/30/2018
290001,RENOWN REGIONAL MEDICAL CENTER,1155 MILL STREET,RENO,WASHOE,NV,89502,7759824100,94,6,0,97,89,4,7,91,77,19,4,89,82,14,4,93,3,228,35,27,10/1/2017,9/30/2018
290019,CARSON TAHOE REGIONAL MEDICAL CENTER,1600 MEDICAL PARKWAY,CARSON CITY,CARSON CITY,NV,89703,7754458000,96,3,1,97,88,9,3,93,85,13,2,94,87,12,1,95,,1735,465,28,10/1/2017,9/30/2018
290021,VALLEY HOSPITAL MEDICAL CENTER,620 SHADOW LANE,LAS VEGAS,CLARK,NV,89106,7023884000,93,6,1,96,84,11,5,90,75,20,5,90,72,24,4,89,,976,214,22,10/1/2017,9/30/2018
290022,DESERT SPRINGS HOSPITAL,2075 EAST FLAMINGO ROAD,LAS VEGAS,CLARK,NV,89119,7023697600,92,7,1,96,81,13,6,88,71,24,5,89,66,30,4,87,,955,218,23,10/1/2017,9/30/2018
290032,SPARKS FAMILY HOSPITAL INC,2375 PRATER WAY,SPARKS,WASHOE,NV,89434,7753317000,95,4,1,97,88,10,2,93,78,17,5,91,81,16,3,92,,986,282,29,10/1/2017,9/30/2018
290041,SUMMERLIN HOSPITAL MEDICAL CENTER,657 TOWN CENTER DRIVE,LAS VEGAS,CLARK,NV,89144,7022337500,93,6,1,96,87,11,2,92,77,20,3,91,76,21,3,91,,992,255,26,10/1/2017,9/30/2018
290046,SPRING VALLEY HOSPITAL MEDICAL CENTER,5400 SOUTH RAINBOW BLVD,LAS VEGAS,CLARK,NV,89118,7028533000,94,5,1,97,86,11,3,92,80,17,3,92,75,22,3,91,,1339,291,22,10/1/2017,9/30/2018
290049,RENOWN SOUTH MEADOWS MEDICAL CENTER,10101 DOUBLE R BLVD,RENO,WASHOE,NV,89521,7759827063,98,1,1,98,83,10,7,88,91,7,2,95,85,13,2,95,,430,107,25,10/1/2017,9/30/2018
290054,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,6900 N DURANGO DR,LAS VEGAS,CLARK,NV,89149,7028359700,91,7,2,94,87,10,3,92,82,13,5,92,82,15,3,92,,1206,255,21,10/1/2017,9/30/2018
290057,HENDERSON HOSPITAL,1050 WEST GALLERIA DRIVE,HENDERSON,CLARK,NV,89011,3182904395,95,4,1,97,90,8,2,94,90,7,3,94,88,8,4,94,,3169,792,25,10/1/2017,9/30/2018
291306,CARSON VALLEY MEDICAL CENTER,1107 HIGHWAY 395,GARDNERVILLE,DOUGLAS,NV,89410,7757821500,,,,,,,,,,,,,,,,,4,,,,,
300001,CONCORD HOSPITAL,250 PLEASANT ST,CONCORD,MERRIMACK,NH,3301,6032252711,,,,,,,,,,,,,,,,,4,,,,,
300003,MARY HITCHCOCK MEMORIAL HOSPITAL,1 MEDICAL CENTER DRIVE,LEBANON,GRAFTON,NH,3756,6036505000,97,3,0,99,92,7,1,95,87,11,2,95,88,11,1,95,,7695,2512,33,10/1/2017,9/30/2018
300005,LAKES REGION GENERAL HOSPITAL,80 HIGHLAND ST,LACONIA,BELKNAP,NH,3246,6035243211,97,3,0,98,92,6,2,95,78,20,2,92,69,29,2,89,,1026,285,28,10/1/2017,9/30/2018
300018,WENTWORTH-DOUGLASS HOSPITAL,789 CENTRAL AVE,DOVER,STRAFFORD,NH,3820,6037402580,,,,,,,,,,,,,,,,,4,,,,,
300020,SOUTHERN NH MEDICAL CENTER,8 PROSPECT STREET,NASHUA,HILLSBOROUGH,NH,3060,6035772000,97,2,1,98,91,8,1,95,84,13,3,93,83,15,2,94,,1913,458,24,10/1/2017,9/30/2018
301300,UPPER CONNECTICUT VALLEY HOSPITAL,181 CORLISS LANE,COLEBROOK,COOS,NH,3576,6032374971,96,4,0,98,90,8,2,94,73,23,4,90,72,25,3,89,3,310,97,31,10/1/2017,9/30/2018
301303,WEEKS MEDICAL CENTER,173 MIDDLE STREET,LANCASTER,COOS,NH,3584,6037884911,97,3,0,98,94,4,2,96,86,12,2,94,77,22,1,92,,818,244,35,10/1/2017,9/30/2018
301306,FRANKLIN REGIONAL HOSPITAL,15 AIKEN AVENUE,FRANKLIN,MERRIMACK,NH,3235,6039342060,,,,,,,,,,,,,,,,,4,,,,,
301307,"MEMORIAL HOSPITAL, THE",3073 WHITE MOUNTAIN HIGHWAY,NORTH CONWAY,CARROLL,NH,3860,6033565461,96,3,1,98,93,6,1,96,83,13,4,92,68,29,3,88,,1228,321,26,10/1/2017,9/30/2018
301308,VALLEY REGIONAL HOSPITAL,243 ELM STREET,CLAREMONT,SULLIVAN,NH,3743,6035427771,,,,,,,,,,,,,,,,,4,,,,,
301309,MONADNOCK COMMUNITY HOSPITAL,452 OLD STREET ROAD,PETERBOROUGH,HILLSBOROUGH,NH,3458,6039247191,,,,,,,,,,,,,,,,,4,,,,,
301310,ANDROSCOGGIN VALLEY HOSPITAL,59 PAGE HILL ROAD,BERLIN,COOS,NH,3570,6037522200,97,3,0,98,92,7,1,96,79,17,4,91,73,23,4,89,,1008,265,26,10/1/2017,9/30/2018
310010,UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,ONE PLAINSBORO ROAD,PLAINSBORO,MIDDLESEX,NJ,8536,8664604776,,,,,,,,,,,,,,,,,4,,,,,
310019,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,703 MAIN ST,PATERSON,PASSAIC,NJ,7503,9737542010,95,4,1,97,89,8,3,93,84,14,2,94,88,11,1,95,,5832,673,12,10/1/2017,9/30/2018
310022,VIRTUA WEST JERSEY HOSPITALS,100 BOWMAN DRIVE,VOORHEES,CAMDEN,NJ,8043,8562473200,98,2,0,99,92,6,2,95,88,10,2,94,87,12,1,95,,832,215,26,10/1/2017,9/30/2018
310031,DEBORAH HEART AND LUNG CENTER,200 TRENTON ROAD,BROWNS MILLS,BURLINGTON,NJ,8015,6098936611,,,,,,,,,,,,,,,,,4,,,,,
310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,ONE CAPITAL WAY,PENNINGTON,MERCER,NJ,8534,6093034000,,,,,,,,,,,,,,,,,4,,,,,
310047,SHORE MEDICAL CENTER,100 MEDICAL CENTER WAY,SOMERS POINT,ATLANTIC,NJ,8244,6096533545,98,2,0,99,90,8,2,94,87,11,2,94,81,17,2,93,,1477,449,31,10/1/2017,9/30/2018
310057,VIRTUA MEMORIAL,175 MADISON AVE,MOUNT HOLLY,BURLINGTON,NJ,8060,6099146000,97,3,0,98,91,8,1,95,80,15,5,92,77,21,2,91,,375,114,31,10/1/2017,9/30/2018
310058,NEW BRIDGE MEDICAL CENTER,230 EAST RIDGEWOOD AVE,PARAMUS,BERGEN,NJ,7652,2019674000,,,,,,,,,,,,,,,,,4,,,,,
310086,JEFFERSON STRATFORD HOSPITAL,18 EAST LAUREL ROAD,STRATFORD,CAMDEN,NJ,8084,8563467802,,,,,,,,,,,,,,,,,4,,,,,
310092,CAPITAL HEALTH REGIONAL MEDICAL CENTER,750 BRUNSWICK AVE,TRENTON,MERCER,NJ,8638,6093946000,,,,,,,,,,,,,,,,,4,,,,,
310108,JFK MEDICAL CENTER,65 JAMES STREET,EDISON,MIDDLESEX,NJ,8818,7323217000,,,,,,,,,,,,,,,,,4,,,,,
310119,THE UNIVERSITY HOSPITAL,150 BERGEN ST,NEWARK,ESSEX,NJ,7101,9739725658,,,,,,,,,,,,,,,,,4,,,,,
320002,CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,455 ST MICHAEL'S DRIVE,SANTA FE,SANTA FE,NM,87505,5059135201,96,3,1,98,87,10,3,92,79,19,2,92,78,19,3,91,,1864,453,24,10/1/2017,9/30/2018
320011,PRESBYTERIAN ESPANOLA HOSPITAL,1010 SPRUCE STREET,ESPANOLA,RIO ARRIBA,NM,87532,5057531502,,,,,,,,,,,,,,,,,4,,,,,
320021,PRESBYTERIAN HOSPITAL,1100 CENTRAL AVENUE SE,ALBUQUERQUE,BERNALILLO,NM,87106,5057248386,,,,,,,,,,,,,,,,,4,,,,,
320022,PLAINS REGIONAL MEDICAL CENTER,"2100 N MARTIN LUTHER KING, JR, BLVD",CLOVIS,CURRY,NM,88101,5757697155,,,,,,,,,,,,,,,,,4,,,,,
320030,ARTESIA GENERAL HOSPITAL,702 N 13TH STREET,ARTESIA,EDDY,NM,88210,5757483333,95,4,1,97,87,10,3,92,82,15,3,93,83,15,2,93,,5752,395,7,10/1/2017,9/30/2018
320084,ROOSEVELT GENERAL HOSPITAL,42121 US HIGHWAY 70,PORTALES,ROOSEVELT,NM,88130,5753591800,,,,,,,,,,,,,,,,,4,,,,,
321301,SOCORRO GENERAL HOSPITAL,1202 HIGHWAY 60 WEST,SOCORRO,SOCORRO,NM,87801,5758351140,,,,,,,,,,,,,,,,,4,,,,,
321305,NOR-LEA HOSPITAL DISTRICT,1600 NORTH MAIN AVE,LOVINGTON,LEA,NM,88260,5753966611,98,2,0,99,91,7,2,95,91,8,1,95,90,9,1,96,,1753,386,22,10/1/2017,9/30/2018
321306,LINCOLN COUNTY MEDICAL CENTER,211 SUDDERTH DRIVE,RUIDOSO,LINCOLN,NM,88345,5752578200,,,,,,,,,,,,,,,,,4,,,,,
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NEW YORK,NY,10029,2122417981,94,5,1,96,90,8,2,94,83,13,4,93,82,14,4,92,,4092,804,20,10/1/2017,9/30/2018
330043,NS/LIJ HS SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,SUFFOLK,NY,11706,6319683000,97,2,1,98,92,6,2,95,86,11,3,94,85,13,2,94,,1744,396,23,10/1/2017,9/30/2018
330045,NS/LIJ HS HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,SUFFOLK,NY,11743,6313512000,98,2,0,99,91,8,1,95,87,11,2,94,85,13,2,94,,1252,352,29,10/1/2017,9/30/2018
330046,MOUNT SINAI ST LUKE'S ROOSEVELT HOSPITAL,1000 TENTH AVENUE,NEW YORK,NEW YORK,NY,10019,2125234000,94,5,1,97,89,9,2,93,78,17,5,91,80,15,5,90,,3664,552,15,10/1/2017,9/30/2018
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,621 TENTH STREET,NIAGARA FALLS,NIAGARA,NY,14302,7162784000,,,,,,,,,,,,,,,,,4,,,,,
330074,F F THOMPSON HOSPITAL,350 PARRISH STREET,CANANDAIGUA,ONTARIO,NY,14424,5853966000,97,3,0,98,90,9,1,94,83,15,2,93,83,16,1,94,,647,277,43,10/1/2017,9/30/2018
330079,ADIRONDACK MEDICAL CENTER,2233 STATE ROUTE 86,SARANAC LAKE,FRANKLIN,NY,12983,5188914141,97,2,1,98,90,8,2,94,84,14,2,94,85,14,1,95,,2104,622,30,10/1/2017,9/30/2018
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,OTSEGO,NY,13820,6074322000,97,3,0,98,91,7,2,94,80,18,2,92,73,25,2,90,,2287,797,35,10/1/2017,9/30/2018
330088,EASTERN LONG ISLAND HOSPITAL,201 MANOR PLACE,GREENPORT,SUFFOLK,NY,11944,6314771000,97,3,0,99,90,7,3,94,88,10,2,95,88,10,2,95,,2352,932,40,10/1/2017,9/30/2018
330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,CHEMUNG,NY,14905,6077374100,96,3,1,98,91,7,2,95,78,20,2,91,73,25,2,90,,976,259,27,10/1/2017,9/30/2018
330100,NY EYE AND EAR INFIRMARY OF MOUNT SINAI,230 SECOND AVE,NEW YORK,NEW YORK,NY,10003,2129794000,91,8,1,95,86,10,4,91,70,24,6,90,74,23,3,90,,2267,496,22,10/1/2017,9/30/2018
330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,ROCKLAND,NY,10960,8453482000,97,2,1,98,88,8,4,92,82,15,3,92,77,20,3,90,3,284,56,27,10/1/2017,9/30/2018
330106,NS/LIJ HS-NORTH SHORE UNIVERSITY HOSPITAL AT MANHASSET,300 COMMUNITY DRIVE,MANHASSET,NASSAU,NY,11030,5165620100,96,4,0,98,90,8,2,94,85,13,2,94,85,13,2,94,,1412,393,28,10/1/2017,9/30/2018
330107,PECONIC BAY MEDICAL CENTER,1300 ROANOKE AVENUE,RIVERHEAD,SUFFOLK,NY,11901,6315486000,96,3,1,98,88,10,2,93,80,17,3,92,76,22,2,91,,1509,447,30,10/1/2017,9/30/2018
330119,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NEW YORK,NEW YORK,NY,10021,2124392345,96,3,1,98,89,8,3,93,81,14,5,92,83,13,4,93,,1425,311,22,10/1/2017,9/30/2018
330141,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,SUFFOLK,NY,11772,6316547100,,,,,,,,,,,,,,,,,4,,,,,
330153,ELLIS HOSPITAL,1101 NOTT STREET,SCHENECTADY,SCHENECTADY,NY,12308,5182434000,96,4,0,98,90,8,2,94,80,17,3,92,75,23,2,91,,3859,999,26,10/1/2017,9/30/2018
330160,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,STATEN ISLAND,RICHMOND,NY,10305,7182269000,95,4,1,97,90,8,2,94,82,14,4,92,77,20,3,91,,1209,335,28,10/1/2017,9/30/2018
330162,NORTHERN WESTCHESTER HOSPITAL,400 EAST MAIN STREET,MOUNT KISCO,WESTCHESTER,NY,10549,9146661200,97,3,0,99,90,8,2,94,84,14,2,94,86,12,2,94,,2357,659,28,10/1/2017,9/30/2018
330164,HIGHLAND HOSPITAL,1000 SOUTH AVENUE,ROCHESTER,MONROE,NY,14620,5854732200,97,3,0,98,92,6,2,95,84,14,2,93,82,16,2,93,,1032,358,35,10/1/2017,9/30/2018
330169,MOUNT SINAI BETH ISRAEL,FIRST AVENUE AT 16TH STREET,NEW YORK,NEW YORK,NY,10003,2124202000,94,5,1,97,86,11,3,92,76,19,5,91,76,20,4,90,,3236,526,16,10/1/2017,9/30/2018
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NASSAU,NY,11542,5166747300,98,2,0,99,91,7,2,95,91,8,1,96,89,10,1,96,,1672,567,34,10/1/2017,9/30/2018
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,SUFFOLK,NY,11777,6314731320,,,,,,,,,,,,,,,,,4,,,,,
330194,MAIMONIDES MEDICAL CENTER,4802 TENTH AVENUE,BROOKLYN,KINGS,NY,11219,7182836000,94,5,1,97,87,10,3,92,74,21,5,91,72,23,5,88,,3253,582,18,10/1/2017,9/30/2018
330195,NS/LIJ HS LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NASSAU,NY,11040,7184707000,97,3,0,98,89,8,3,93,88,10,2,95,86,13,1,95,,1164,264,23,10/1/2017,9/30/2018
