Hospital_Name,Provider ID,State,FISCAL_YEAR,DOMAIN_1_SCORE,DOMAIN_1_FOOTNOTE,DOMAIN_1_START_DATE,DOMAIN_1_END_DATE,PSI_90_W_Z_Score,PSI_90_FOOTNOTE,DOMAIN_2_SCORE,DOMAIN_2_FOOTNOTE,CLABSI_W_Z_SCORE,CLABSI_FOOTNOTE,CAUTI_W_Z_SCORE,CAUTI_FOOTNOTE,SSI_W_Z_SCORE,SSI_FOOTNOTE,MRSA_W_Z_SCORE,MRSA_FOOTNOTE,CDI_W_Z_SCORE,CDI_FOOTNOTE,DOMAIN_2_START_DATE,DOMAIN_2_END_DATE,TOTAL_HAC_SCORE,TOTAL_HAC_FOOTNOTE,PAYMENT_REDUCTION,PAYMENT_REDUCTION_FOOTNOTE
ST DOMINIC-JACKSON MEMORIAL HOSPITAL,250048,MS,2019,2.0639,,10/01/2015,06/30/2017,2.0639,,-0.293,,-0.5275,,0.8854,,-1.1572,,0.0709,,-0.7366,,01/01/2016,12/31/2017,0.0605,,No,
BEACHAM MEMORIAL HOSPITAL,250049,MS,2019,-0.0548,,10/01/2015,06/30/2017,-0.0548,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.0548,,No,
OCH REGIONAL MEDICAL CENTER,250050,MS,2019,-0.0437,,10/01/2015,06/30/2017,-0.0437,,-0.9876,,Not Available,5 - Results are not available for this reporting period.,-0.9341,,-0.8085,,Not Available,5 - Results are not available for this reporting period.,-1.2202,,01/01/2016,12/31/2017,-0.846,,No,
KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,250057,MS,2019,0.1357,,10/01/2015,06/30/2017,0.1357,,-0.8827,,-1.4878,,-0.7998,,-0.9535,,0.2164,,-1.3887,,01/01/2016,12/31/2017,-0.7299,,No,
SOUTH CENTRAL REG MED CTR,250058,MS,2019,-1.4087,,10/01/2015,06/30/2017,-1.4087,,-0.5075,,-0.7695,,-0.3654,,-0.948,,0.2431,,-0.698,,01/01/2016,12/31/2017,-0.6427,,No,
JEFFERSON COUNTY HOSPITAL,250060,MS,2019,0.0343,,10/01/2015,06/30/2017,0.0343,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,0.0343,,No,
YALOBUSHA GENERAL HOSPITAL,250061,MS,2019,-0.0411,,10/01/2015,06/30/2017,-0.0411,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.0411,,No,
CLAY COUNTY MEDICAL CENTER,250067,MS,2019,0.8501,,10/01/2015,06/30/2017,0.8501,,1.0992,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,2.1365,,Not Available,5 - Results are not available for this reporting period.,0.0619,,01/01/2016,12/31/2017,1.0618,,Yes,
RUSH FOUNDATION HOSPITAL,250069,MS,2019,1.1961,,10/01/2015,06/30/2017,1.1961,,1.2072,,2.2018,,0.8609,,1.4723,,2.196,,-0.6952,,01/01/2016,12/31/2017,1.2055,,Yes,
MERIT HEALTH CENTRAL,250072,MS,2019,1.2564,,10/01/2015,06/30/2017,1.2564,,0.7189,,1.7106,,1.1418,,-0.0342,,1.8198,,-1.0433,,01/01/2016,12/31/2017,0.7996,,Yes,
WAYNE GENERAL HOSPITAL,250077,MS,2019,-0.2898,,10/01/2015,06/30/2017,-0.2898,,-0.6601,,Not Available,5 - Results are not available for this reporting period.,-1.5202,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,0.2,,01/01/2016,12/31/2017,-0.6046,,No,
FORREST GENERAL HOSPITAL,250078,MS,2019,2.347,,10/01/2015,06/30/2017,2.347,,-0.157,,0.5066,,-0.3078,,-0.0929,,-0.1431,,-0.7477,,01/01/2016,12/31/2017,0.2186,,No,
SHARKEY ISSAQUENA COMMUNITY HOSPITAL,250079,MS,2019,-0.0018,,10/01/2015,06/30/2017,-0.0018,,2.0836,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,2.196,18 - This result is not based on performance data; the hospital did not submit data and did not submit an HAI exemption form.,1.9711,18 - This result is not based on performance data; the hospital did not submit data and did not submit an HAI exemption form.,01/01/2016,12/31/2017,1.7708,,Yes,
ANDERSON RMC SOUTH,250081,MS,2019,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017,Not Available,5 - Results are not available for this reporting period.,1.9711,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.9711,,01/01/2016,12/31/2017,1.9711,,Yes,
DELTA REGIONAL MEDICAL CENTER,250082,MS,2019,-0.513,,10/01/2015,06/30/2017,-0.513,,0.5708,,2.2018,,0.28,,-0.9627,,2.196,,-0.861,,01/01/2016,12/31/2017,0.4083,,Yes,
MERIT HEALTH NATCHEZ,250084,MS,2019,-0.4667,,10/01/2015,06/30/2017,-0.4667,,-0.4479,,0.3589,,-0.88,,-1.4966,,1.4821,,-1.7037,,01/01/2016,12/31/2017,-0.4507,,No,
MERIT HEALTH WESLEY,250094,MS,2019,1.0129,,10/01/2015,06/30/2017,1.0129,,-0.1365,,-0.0105,,-0.4073,,0.4924,,0.4989,,-1.2561,,01/01/2016,12/31/2017,0.0359,,No,
SOUTH SUNFLOWER COUNTY HOSPITAL,250095,MS,2019,1.1381,,10/01/2015,06/30/2017,1.1381,,0.4293,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,0.4293,,01/01/2016,12/31/2017,0.5357,,Yes,
MERIT HEALTH RANKIN,250096,MS,2019,-1.1712,,10/01/2015,06/30/2017,-1.1712,,0.501,,-0.2949,,0.4458,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.3522,,01/01/2016,12/31/2017,0.2502,,No,
SOUTHWEST MS REGIONAL MEDICAL CENTER,250097,MS,2019,0.0299,,10/01/2015,06/30/2017,0.0299,,-0.5765,,0.634,,-0.3166,,-0.2214,,-1.4406,,-1.5379,,01/01/2016,12/31/2017,-0.4855,,No,
GREENWOOD LEFLORE HOSPITAL,250099,MS,2019,1.3386,,10/01/2015,06/30/2017,1.3386,,-0.0576,,-0.3613,,0.2399,,-0.8948,,1.1911,,-0.4631,,01/01/2016,12/31/2017,0.1518,,No,
BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC,250100,MS,2019,-1.0913,,10/01/2015,06/30/2017,-1.0913,,-0.2912,,-1.0114,,-0.6794,,0.6374,,0.091,,-0.4935,,01/01/2016,12/31/2017,-0.4112,,No,
MISSISSIPPI BAPTIST MEDICAL CENTER,250102,MS,2019,0.1428,,10/01/2015,06/30/2017,0.1428,,0.1177,,0.4697,,-0.5433,,0.7493,,-0.2317,,0.1448,,01/01/2016,12/31/2017,0.1215,,No,
ANDERSON REGIONAL MEDICAL CTR,250104,MS,2019,1.7907,,10/01/2015,06/30/2017,1.7907,,0.2859,,0.4826,,-0.0706,,1.32,,0.4036,,-0.7063,,01/01/2016,12/31/2017,0.5116,,Yes,
HIGHLAND COMMUNITY  HOSPITAL,250117,MS,2019,0.0111,,10/01/2015,06/30/2017,0.0111,,-1.6472,,Not Available,5 - Results are not available for this reporting period.,-1.5202,,-1.4966,,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.3985,,No,
GARDEN PARK MEDICAL CENTER,250123,MS,2019,-0.5113,,10/01/2015,06/30/2017,-0.5113,,-0.0348,,0.261,,-0.3218,,-0.6452,,1.7713,,-1.2395,,01/01/2016,12/31/2017,-0.1063,,No,
MAGEE GENERAL HOSPITAL,250124,MS,2019,1.2949,,10/01/2015,06/30/2017,1.2949,,-0.325,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-0.325,,01/01/2016,12/31/2017,-0.082,,No,
NORTH OAK REGIONAL MEDICAL CENTER,250126,MS,2019,-0.1432,,10/01/2015,06/30/2017,-0.1432,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.1432,,No,
CHOCTAW HEALTH CENTER,250127,MS,2019,0.0584,,10/01/2015,06/30/2017,0.0584,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,0.0584,,No,
PANOLA MEDICAL CENTER,250128,MS,2019,0.5192,,10/01/2015,06/30/2017,0.5192,,-1.5407,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.5407,,01/01/2016,12/31/2017,-1.2317,,No,
WHITFIELD MEDICAL SURGICAL HOSPITAL,250134,MS,2019,0.0096,,10/01/2015,06/30/2017,0.0096,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,0.0096,,No,
MERIT HEALTH WOMEN'S HOSPITAL,250136,MS,2019,0.0065,,10/01/2015,06/30/2017,0.0065,,-1.4966,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.4966,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-1.2712,,No,
MERIT HEALTH RIVER OAKS,250138,MS,2019,0.1819,,10/01/2015,06/30/2017,0.1819,,-0.2496,,0.3552,,-1.5202,,0.4355,,0.0826,,-0.6013,,01/01/2016,12/31/2017,-0.1849,,No,
BAPTIST MEMORIAL HOSPITAL DESOTO,250141,MS,2019,1.506,,10/01/2015,06/30/2017,1.506,,1.2984,,1.55,,0.8191,,1.8337,,1.2881,,1.0013,,01/01/2016,12/31/2017,1.3296,,Yes,
ALLIANCE HEALTH CENTER,250151,MS,2019,0.007,,10/01/2015,06/30/2017,0.007,,-1.6827,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.4406,,-1.9247,,01/01/2016,12/31/2017,-1.4292,,No,
COX MEDICAL CENTER BRANSON,260094,MO,2019,0.1766,,10/01/2015,06/30/2017,0.1766,,0.1969,,-0.7233,,0.0428,,-1.4966,,2.196,,0.9654,,01/01/2016,12/31/2017,0.1938,,No,
MISSISSIPPI METHODIST REHAB CTR,250152,MS,2019,Not Available,1 - The number of cases/patients is too few to report.,10/01/2015,06/30/2017,Not Available,1 - The number of cases/patients is too few to report.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,Not Available,5 - Results are not available for this reporting period.,No,
OCHSNER MEDICAL CENTER-HANCOCK,250162,MS,2019,-1.346,,10/01/2015,06/30/2017,-1.346,,-0.7093,,Not Available,5 - Results are not available for this reporting period.,1.2936,,-1.4966,,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-0.8048,,No,
PATIENTS CHOICE MEDICAL CENTER,250163,MS,2019,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017,Not Available,5 - Results are not available for this reporting period.,2.0836,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,2.196,18 - This result is not based on performance data; the hospital did not submit data and did not submit an HAI exemption form.,1.9711,18 - This result is not based on performance data; the hospital did not submit data and did not submit an HAI exemption form.,01/01/2016,12/31/2017,2.0836,,Yes,
METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,250167,MS,2019,-0.3814,,10/01/2015,06/30/2017,-0.3814,,-0.803,,-0.6716,,-1.5202,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-0.2172,,01/01/2016,12/31/2017,-0.7398,,No,
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA,250168,MS,2019,-0.8991,,10/01/2015,06/30/2017,-0.8991,,-0.4768,,-0.3835,,-0.6201,,0.0153,,Not Available,5 - Results are not available for this reporting period.,-0.919,,01/01/2016,12/31/2017,-0.5402,,No,
MERCY HOSPITAL JOPLIN,260001,MO,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,-0.014,,0.2628,,0.8749,,-0.9645,,-0.6615,,0.4183,,01/01/2016,12/31/2017,-0.2455,,No,
COOPER COUNTY COMMUNITY HOSPITAL,260004,MO,2019,0.0451,,10/01/2015,06/30/2017,0.0451,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,0.0451,,No,
SSM HEALTH ST JOSEPH HOSPITAL-ST CHARLES,260005,MO,2019,0.5354,,10/01/2015,06/30/2017,0.5354,,0.552,,0.3589,,0.2661,,2.1365,,0.7932,,-0.7947,,01/01/2016,12/31/2017,0.5495,,Yes,
MOSAIC LIFE CARE AT ST JOSEPH,260006,MO,2019,-1.3828,,10/01/2015,06/30/2017,-1.3828,,0.0312,,-0.4758,,0.1108,,-0.4764,,0.1896,,0.8079,,01/01/2016,12/31/2017,-0.1809,,No,
BOTHWELL REGIONAL HEALTH CENTER,260009,MO,2019,-0.1728,,10/01/2015,06/30/2017,-0.1728,,-0.4352,,Not Available,5 - Results are not available for this reporting period.,0.5487,,-0.4397,,-0.4307,,-1.4191,,01/01/2016,12/31/2017,-0.3958,,No,
SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,260011,MO,2019,-0.1357,,10/01/2015,06/30/2017,-0.1357,,0.5953,,2.2018,,-0.2311,,1.8704,,-0.2,,-0.6648,,01/01/2016,12/31/2017,0.4856,,Yes,
TWIN RIVERS REGIONAL MEDICAL CENTER,260015,MO,2019,-0.0328,,10/01/2015,06/30/2017,-0.0328,,-0.0928,,Not Available,5 - Results are not available for this reporting period.,1.6756,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.8612,,01/01/2016,12/31/2017,-0.0838,,No,
PHELPS COUNTY REGIONAL MEDICAL CENTER,260017,MO,2019,-1.3528,,10/01/2015,06/30/2017,-1.3528,,0.0009,,0.2056,,-0.348,,-0.0067,,1.2965,,-1.1428,,01/01/2016,12/31/2017,-0.2021,,No,
MERCY HOSPITAL ST LOUIS,260020,MO,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,-0.5319,,-0.6088,,0.2626,,-1.1241,,-1.0025,,-0.1868,,01/01/2016,12/31/2017,-0.6858,,No,
NORTHEAST REGIONAL MEDICAL CENTER,260022,MO,2019,-0.201,,10/01/2015,06/30/2017,-0.201,,0.124,,-1.4878,,1.6477,,0.7585,,-1.4406,,1.1422,,01/01/2016,12/31/2017,0.0752,,No,
MERCY HOSPITAL JEFFERSON,260023,MO,2019,-1.216,,10/01/2015,06/30/2017,-1.216,,0.1416,,-0.1416,,-0.5712,,0.0062,,-0.0344,,1.4489,,01/01/2016,12/31/2017,-0.0621,,No,
TEXAS COUNTY MEMORIAL HOSPITAL,260024,MO,2019,-0.1101,,10/01/2015,06/30/2017,-0.1101,,1.0013,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.0013,,01/01/2016,12/31/2017,0.8346,,Yes,
HANNIBAL REGIONAL HOSPITAL,260025,MO,2019,-0.7584,,10/01/2015,06/30/2017,-0.7584,,0.1633,,-1.4878,,0.0114,,-0.5553,,1.0457,,1.8026,,01/01/2016,12/31/2017,0.025,,No,
RESEARCH MEDICAL CENTER,260027,MO,2019,-0.6459,,10/01/2015,06/30/2017,-0.6459,,0.5237,,-0.2819,,0.7423,,0.6887,,-0.0211,,1.4903,,01/01/2016,12/31/2017,0.3482,,Yes,
BARNES JEWISH HOSPITAL,260032,MO,2019,1.3021,,10/01/2015,06/30/2017,1.3021,,0.1612,,0.6137,,0.0079,,0.5346,,0.0575,,-0.4078,,01/01/2016,12/31/2017,0.3323,,No,
BATES COUNTY MEMORIAL HOSPITAL,260034,MO,2019,-0.2882,,10/01/2015,06/30/2017,-0.2882,,-1.245,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.245,,01/01/2016,12/31/2017,-1.1015,,No,
COX MEDICAL CENTERS,260040,MO,2019,-0.7294,,10/01/2015,06/30/2017,-0.7294,,-0.2127,,-0.2376,,-0.0462,,-0.2819,,-0.6564,,0.1586,,01/01/2016,12/31/2017,-0.2902,,No,
CAPITAL REGION MEDICAL CENTER,260047,MO,2019,-0.0757,,10/01/2015,06/30/2017,-0.0757,,-0.2931,,1.4336,,-1.0597,,-0.0434,,-1.4406,,-0.3553,,01/01/2016,12/31/2017,-0.2605,,No,
TRUMAN MEDICAL CENTER HOSPITAL HILL,260048,MO,2019,0.3443,,10/01/2015,06/30/2017,0.3443,,0.7003,,0.9812,,0.3114,,1.2924,,0.2164,,0.7001,,01/01/2016,12/31/2017,0.6469,,Yes,
SSM HEALTH ST FRANCIS HOSPITAL - MARYVILLE,260050,MO,2019,-0.0367,,10/01/2015,06/30/2017,-0.0367,,0.1724,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,0.1724,,01/01/2016,12/31/2017,0.141,,No,
MERCY HOSPITAL WASHINGTON,260052,MO,2019,-0.9646,,10/01/2015,06/30/2017,-0.9646,,-0.2614,,-1.4878,,0.1213,,1.353,,-0.5595,,-0.7339,,01/01/2016,12/31/2017,-0.3669,,No,
CAMERON REGIONAL MEDICAL CENTER,260057,MO,2019,0.0366,,10/01/2015,06/30/2017,0.0366,,-1.6443,,-1.4878,,-1.5202,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.3921,,No,
MERCY HOSPITAL LEBANON,260059,MO,2019,-0.3042,,10/01/2015,06/30/2017,-0.3042,,0.5169,,Not Available,5 - Results are not available for this reporting period.,0.0794,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,0.9543,,01/01/2016,12/31/2017,0.3937,,Yes,
NEVADA REGIONAL MEDICAL CENTER,260061,MO,2019,-0.0731,,10/01/2015,06/30/2017,-0.0731,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.0731,,No,
SAINT LUKES NORTH HOSPITAL,260062,MO,2019,0.1422,,10/01/2015,06/30/2017,0.1422,,-0.9214,,-0.6993,,-0.8085,,-1.4966,,-1.4406,,-0.1619,,01/01/2016,12/31/2017,-0.7619,,No,
SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN,260064,MO,2019,-0.554,,10/01/2015,06/30/2017,-0.554,,-1.0824,,Not Available,5 - Results are not available for this reporting period.,-1.5202,,0.0043,,Not Available,5 - Results are not available for this reporting period.,-1.7313,,01/01/2016,12/31/2017,-1.0031,,No,
MERCY HOSPITAL SPRINGFIELD,260065,MO,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,0.1731,,-0.3189,,0.369,,0.063,,-0.1164,,0.8687,,01/01/2016,12/31/2017,-0.0865,,No,
BOONE HOSPITAL CENTER,260068,MO,2019,-0.5505,,10/01/2015,06/30/2017,-0.5505,,0.1793,,1.0107,,-0.3166,,-0.17,,0.4488,,-0.0763,,01/01/2016,12/31/2017,0.0699,,No,
PEMISCOT COUNTY MEMORIAL HOSPITAL,260070,MO,2019,-0.2829,,10/01/2015,06/30/2017,-0.2829,,-1.2403,,Not Available,5 - Results are not available for this reporting period.,-1.5202,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-0.9604,,01/01/2016,12/31/2017,-1.0967,,No,
MOBERLY REGIONAL MEDICAL CENTER,260074,MO,2019,0.2851,,10/01/2015,06/30/2017,0.2851,,-1.116,,Not Available,5 - Results are not available for this reporting period.,-0.6968,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.5352,,01/01/2016,12/31/2017,-0.9058,,No,
ST ANTHONY'S MEDICAL CENTER,260077,MO,2019,1.522,,10/01/2015,06/30/2017,1.522,,0.0852,,-1.2477,,0.7196,,0.5163,,0.0391,,0.399,,01/01/2016,12/31/2017,0.3008,,No,
OZARKS MEDICAL CENTER,260078,MO,2019,-0.4384,,10/01/2015,06/30/2017,-0.4384,,-0.8934,,Not Available,5 - Results are not available for this reporting period.,-1.5202,,0.5383,,-1.4406,,-1.1511,,01/01/2016,12/31/2017,-0.8252,,No,
SOUTHEAST HEALTH CENTER OF RIPLEY COUNTY,260080,MO,2019,0.0587,,10/01/2015,06/30/2017,0.0587,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,0.0587,,No,
SSM HEALTH ST CLARE HOSPITAL - FENTON,260081,MO,2019,1.531,,10/01/2015,06/30/2017,1.531,,-0.1443,,0.477,,0.3376,,-1.1058,,0.4722,,-0.9024,,01/01/2016,12/31/2017,0.107,,No,
ST JOSEPH MEDICAL CENTER,260085,MO,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,-0.6316,,-1.4878,,-0.9446,,-0.9884,,-0.0395,,0.3022,,01/01/2016,12/31/2017,-0.7705,,No,
SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,260091,MO,2019,2.347,,10/01/2015,06/30/2017,2.347,,-0.0683,,-0.1028,,-0.1212,,0.0465,,0.509,,-0.6731,,01/01/2016,12/31/2017,0.294,,No,
CENTERPOINT MEDICAL CENTER,260095,MO,2019,-1.2601,,10/01/2015,06/30/2017,-1.2601,,0.0971,,-0.0031,,-0.0619,,-0.6287,,0.5758,,0.6034,,01/01/2016,12/31/2017,-0.1065,,No,
NORTH KANSAS CITY HOSPITAL,260096,MO,2019,-0.0355,,10/01/2015,06/30/2017,-0.0355,,-0.0529,,0.0265,,-0.02,,-0.3003,,-0.4056,,0.4349,,01/01/2016,12/31/2017,-0.0503,,No,
WESTERN MISSOURI MEDICAL CENTER,260097,MO,2019,-0.5091,,10/01/2015,06/30/2017,-0.5091,,-0.0045,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.4966,,Not Available,5 - Results are not available for this reporting period.,1.4876,,01/01/2016,12/31/2017,-0.0802,,No,
TRUMAN MEDICAL CENTER LAKEWOOD,260102,MO,2019,-0.4616,,10/01/2015,06/30/2017,-0.4616,,-0.4267,,Not Available,5 - Results are not available for this reporting period.,0.0742,,Not Available,5 - Results are not available for this reporting period.,-0.4658,,-0.8886,,01/01/2016,12/31/2017,-0.432,,No,
SSM HEALTH DEPAUL HOSPITAL ST LOUIS,260104,MO,2019,0.0593,,10/01/2015,06/30/2017,0.0593,,-0.0796,,-0.2949,,0.7615,,-1.1774,,1.1544,,-0.8416,,01/01/2016,12/31/2017,-0.0588,,No,
SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,260105,MO,2019,2.347,,10/01/2015,06/30/2017,2.347,,0.7132,,1.1935,,0.5731,,0.3933,,0.6176,,0.7885,,01/01/2016,12/31/2017,0.9583,,Yes,
MISSOURI BAPTIST MEDICAL CENTER,260108,MO,2019,-0.031,,10/01/2015,06/30/2017,-0.031,,-0.1764,,-0.3004,,0.2661,,0.3621,,-0.1966,,-1.0129,,01/01/2016,12/31/2017,-0.1545,,No,
SOUTHEASTHEALTH,260110,MO,2019,2.2742,,10/01/2015,06/30/2017,2.2742,,0.1466,,1.1104,,-0.2381,,0.0997,,-0.2016,,-0.0376,,01/01/2016,12/31/2017,0.4657,,Yes,
MISSOURI DELTA MEDICAL CENTER,260113,MO,2019,2.347,,10/01/2015,06/30/2017,2.347,,-0.1459,,1.2526,,-1.5202,,-1.4966,,1.0557,,-0.021,,01/01/2016,12/31/2017,0.228,,No,
POPLAR BLUFF REGIONAL MEDICAL CENTER,260119,MO,2019,-0.7468,,10/01/2015,06/30/2017,-0.7468,,-0.4061,,-0.8415,,-1.1609,,1.3658,,-1.0025,,-0.3913,,01/01/2016,12/31/2017,-0.4572,,No,
FREEMAN HEALTH SYSTEM - FREEMAN WEST,260137,MO,2019,0.4908,,10/01/2015,06/30/2017,0.4908,,-0.806,,-0.9855,,-0.9498,,-0.5957,,-1.0276,,-0.4714,,01/01/2016,12/31/2017,-0.6115,,No,
ST LUKES HOSPITAL OF KANSAS CITY,260138,MO,2019,0.6428,,10/01/2015,06/30/2017,0.6428,,-0.0367,,-0.4204,,0.5766,,-0.5828,,-0.725,,0.9681,,01/01/2016,12/31/2017,0.0652,,No,
UNIVERSITY OF MISSOURI HEALTH CARE,260141,MO,2019,2.347,,10/01/2015,06/30/2017,2.347,,0.2443,,-0.1527,,0.0899,,0.041,,0.927,,0.3161,,01/01/2016,12/31/2017,0.5597,,Yes,
FITZGIBBON HOSPITAL,260142,MO,2019,-0.2121,,10/01/2015,06/30/2017,-0.2121,,0.9212,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,0.9212,,01/01/2016,12/31/2017,0.7512,,Yes,
SOUTHEASTHEALTH CENTER OF STODDARD COUNTY,260160,MO,2019,-0.0417,,10/01/2015,06/30/2017,-0.0417,,-0.0652,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-0.0652,,01/01/2016,12/31/2017,-0.0617,,No,
